,consumer_sentiment,federal_funds_rate,bbkmgdp,labor_force_participation_rate,m2,yield_10_year,mortgage_30_year,msci,savings_rate,sp500_monthly_open,sp500_monthly_high,sp500_monthly_low,close ,sp500_monthly_volume,sp500_pe_ratio,vehicle_sales,unemployment_rate,percent_change
299,70.6,0.08,0.2499576235523486,62.0,21507.8,1.465,3.098,622154.5231338287,6.0,4602.82,4808.93,4495.12,4766.18,92750180000.0,23.63,13.166,3.9,4.361287497262989
300,67.2,0.08,-4.357230381506488,62.2,21566.1,1.764,3.445,589235.8024297694,3.6,4778.14,4818.62,4222.62,4515.55,95562890000.0,23.11,14.866,4.0,-5.258508910699977
301,62.8,0.08,-2.374606085218269,62.2,21621.0,1.9342105263157892,3.7625,574333.2801887695,3.6,4519.57,4595.31,4114.65,4373.94,92667710000.0,22.42,14.168,3.8,-3.136052086678265
302,59.4,0.2,0.4594450492108715,62.3,21722.8,2.1278260869565218,4.172,590094.9587066738,2.7,4363.14,4637.3,4157.87,4530.41,123546260000.0,22.19,14.253,3.6,3.577323877328009
303,65.2,0.33,0.467706675534282,62.2,21723.2,2.7475,4.9825,541073.7540257007,2.2,4540.32,4593.45,4124.28,4131.93,90367840000.0,22.4,14.681,3.7,-8.795671914903934
304,58.4,0.77,0.5543752052168056,62.3,21696.6,2.898095238095238,5.23,541483.5623864034,2.3,4130.61,4307.66,3810.32,4132.15,108860390000.0,20.81,13.286,3.6,0.005324388360872234
305,50.0,1.21,1.4575884040022562,62.2,21652.4,3.143333333333333,5.522,494579.1907145818,2.0,4149.78,4177.51,3636.87,3785.38,106116710000.0,20.28,13.669,3.6,-8.391999322386646
306,51.5,1.68,2.925304784180985,62.1,21644.5,2.896,5.4125,533846.9436561333,3.1,3781.0,4140.15,3721.56,4130.29,81688320000.0,20.53,13.867,3.5,9.11163476322059
307,58.2,2.33,3.768654058852428,62.4,21626.7,2.8978260869565218,5.2225,511527.9487261248,3.1,4112.38,4325.28,3954.53,3955.0,92252350000.0,22.03,14.064,3.6,-4.244011921681046
308,58.6,2.56,4.377730877760533,62.3,21507.7,3.519047619047619,6.112,463976.40381365386,3.1,3936.73,4119.28,3584.13,3585.62,94241020000.0,20.58,14.136,3.5,-9.339570164348931
309,59.9,3.08,4.033860047264872,62.3,21433.4,3.9835,6.9,497295.87704473705,3.2,3609.78,3905.42,3491.58,3871.98,95823760000.0,20.44,15.091,3.6,7.986345457689326
310,56.7,3.78,1.7138013822674485,62.1,21367.1,3.891,6.805,531873.090781544,3.4,3901.79,4080.11,3698.15,4080.11,92671910000.0,22.07,14.733,3.6,5.375286029369986
311,59.8,4.1,1.6298529083820852,62.3,21273.1,3.616190476190476,6.364,509285.8646089091,3.7,4087.14,4100.96,3764.49,3839.5,85249330000.0,22.65,13.935,3.5,-5.897144929916109
312,64.9,4.33,4.785488552927784,62.4,21188.2,3.5315,6.2725,545320.9400210453,4.2,3853.29,4094.21,3794.33,4076.6,80763810000.0,22.82,15.665,3.4,6.175283240005203
313,66.9,4.57,2.205475376981311,62.5,21117.7,3.7468421052631578,6.2575,532212.2381301617,4.6,4070.07,4195.44,3943.08,3970.15,80392280000.0,23.4,15.434,3.6,-2.6112446646715304
314,62.0,4.65,1.0745841746975746,62.6,20870.6,3.6630434782608696,6.544,548657.4407703836,5.3,3963.34,4110.75,3808.86,4109.31,113094800000.0,22.66,15.668,3.5,3.5051572358727023
315,63.7,4.83,2.739289949672612,62.6,20712.2,3.46,6.3425,558275.1187781001,5.0,4102.2,4170.06,4049.35,4169.48,70861260000.0,23.27,16.446,3.4,1.464236088297044
316,59.0,5.06,2.8845163698750595,62.6,20804.8,3.573636363636364,6.425,552701.6357896752,5.2,4166.79,4231.1,4048.28,4179.83,88929200000.0,23.15,15.948,3.7,0.2482323934879238
317,64.2,5.08,3.446214769859458,62.6,20788.5,3.7480952380952384,6.714,586127.8020471286,5.0,4183.03,4458.48,4171.64,4450.38,87983140000.0,24.01,16.428,3.6,6.47275128414313
318,71.5,5.12,4.871444055011672,62.6,20762.6,3.8995,6.84,605817.480309939,4.6,4450.48,4607.07,4385.05,4588.96,75063200000.0,24.76,16.302,3.5,3.113891398037927
319,69.4,5.33,4.806222125865818,62.8,20735.0,4.167826086956522,7.072,591347.0871464558,4.7,4578.83,4584.62,4335.31,4507.66,86840820000.0,24.16,15.909,3.8,-1.771643248143373
320,67.8,5.33,4.363553668766065,62.8,20681.4,4.379,7.2,565837.313861165,4.4,4530.6,4541.25,4238.63,4288.05,73482980000.0,23.93,16.193,3.8,-4.871929116215501
321,63.8,5.33,2.3907529985524896,62.7,20662.5,4.798095238095239,7.62,549419.0874015497,4.5,4284.52,4393.57,4103.78,4193.8,83519460000.0,22.78,15.799,3.8,-2.1979687736850106
322,61.3,5.33,2.9776037524906496,62.8,20675.7,4.502857142857144,7.442,600928.2867255508,4.6,4201.27,4587.6,4197.74,4567.8,80970570000.0,23.51,15.945,3.7,8.91792646287377
323,69.7,5.33,1.6252606014170474,62.5,20725.4,4.02,6.815,630430.4071936482,4.4,4559.43,4793.3,4546.5,4769.83,81530670000.0,24.35,16.386,3.7,4.422916940321375
324,79.0,5.33,-0.3750139881024901,62.5,20725.9,4.058095238095238,6.6425,637995.8547240201,5.5,4745.2,4931.09,4682.11,4845.65,81737880000.0,25.01,15.513,3.7,1.5895744712075555
